title,price,link
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"MSI Katana 15, Intel Core i7-13620H, 40CM FHD 144Hz Gaming Laptop (8GBx2/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 4060, GDDR6 8GB/Black/2.25Kg), B13VFK-296IN","94,990",https://amazon.in//MSI-i7-13620H-Windows-GeForce-B13VFK-296IN/dp/B0BTW2K2LN/ref=sr_1_19?crid=82JPIJIXTHA6&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-L3DxWBmfh-SruzL7ptfnp-1jU6PB0tegHxVwk8yDbDtiNrszv_wIboQOrC3aX40aA.6fUi69r5sUGc6KCeDl-4-ixidnitZXEyxyeI3ey1CA8&dib_tag=se&keywords=laptop&qid=1727269663&sprefix=laptop%2Caps%2C230&sr=8-19
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB RAM/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS","47,990",https://amazon.in//ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ542WS/dp/B0C5Y3JBC4/ref=sr_1_20?crid=82JPIJIXTHA6&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-L3DxWBmfh-SruzL7ptfnp-1jU6PB0tegHxVwk8yDbDtiNrszv_wIboQOrC3aX40aA.6fUi69r5sUGc6KCeDl-4-ixidnitZXEyxyeI3ey1CA8&dib_tag=se&keywords=laptop&qid=1727269663&sprefix=laptop%2Caps%2C230&sr=8-20
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS","39,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMTUyNjIwMjIyNzI0NzIwOjE3MjcyNjk2NjM6c3BfYnRmOjMwMDI0NTk4Nzg3ODczMjo6MDo6&url=%2FASUS-Vivobook-Laptop-Windows-E1504FA-NJ542WS%2Fdp%2FB0BTWF2BQX%2Fref%3Dsr_1_21_sspa%3Fcrid%3D82JPIJIXTHA6%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-L3DxWBmfh-SruzL7ptfnp-1jU6PB0tegHxVwk8yDbDtiNrszv_wIboQOrC3aX40aA.6fUi69r5sUGc6KCeDl-4-ixidnitZXEyxyeI3ey1CA8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727269663%26sprefix%3Dlaptop%252Caps%252C230%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.6"" (39.6cm) FHD 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1Yr ADP Free/Alexa/3 Month Game Pass/Grey/1.62Kg), 83EM0026IN","58,390",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMTUyNjIwMjIyNzI0NzIwOjE3MjcyNjk2NjM6c3BfYnRmOjMwMDE2Njk0MjgzNTgzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-13420H-Warranty-83EM0026IN%2Fdp%2FB0CNVH6Z24%2Fref%3Dsr_1_22_sspa%3Fcrid%3D82JPIJIXTHA6%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-L3DxWBmfh-SruzL7ptfnp-1jU6PB0tegHxVwk8yDbDtiNrszv_wIboQOrC3aX40aA.6fUi69r5sUGc6KCeDl-4-ixidnitZXEyxyeI3ey1CA8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727269663%26sprefix%3Dlaptop%252Caps%252C230%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
BenQ GW2790 27inch 1080p FHD IPS Monitor| 100Hz|99%sRGB|Eye-careU|Dual HDMI|Display Port|Bezel-less|Eyesafe|VESA MediaSync| Brightness Intelligence|Low Blue Light+| Speakers|VESA Wall mountable(Black),"10,998",https://amazon.in/https://aax-eu.amazon.in/x/c/JNvuh8qA1hswOUYvcx42DwsAAAGSKUtynAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCb4ESd/https://www.amazon.in/BenQ-GW2790-Bezel-less-Brightness-Intelligence/dp/B0CQ2YLVJR/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.3353ca56-2043-45f1-9c2e-99dccef31d9d%3Aamzn1.sym.3353ca56-2043-45f1-9c2e-99dccef31d9d&crid=82JPIJIXTHA6&cv_ct_cx=laptop&dib=eyJ2IjoiMSJ9.lkMaKHFpllq27Py0c0SWxw.XwMrVaL_C7AWiH-th_ODDasHxQKcH5WghcOywGALGMY&dib_tag=se&keywords=laptop&pd_rd_i=B0CQ2YLVJR&pd_rd_r=86df478c-e30e-43ea-969a-f4de99c30808&pd_rd_w=nRKcK&pd_rd_wg=gYi7u&pf_rd_p=3353ca56-2043-45f1-9c2e-99dccef31d9d&pf_rd_r=XH70DCW7S9EDGB8AZWF8&qid=1727269663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=laptop%2Caps%2C230&sr=1-1-f1821008-9dea-4812-b2b6-4a6e4a4f2d55
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/MSO 21/FHD+IR Camera/1Yr ADP Free/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN","1,09,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2NDU4MzY5NzMxMzkzNjY1OjE3MjcyNjk2Njg6c3BfYXRmX25leHQ6MzAwMjA3ODYwNjg2ODMyOjowOjo&url=%2FLenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN%2Fdp%2FB0CY2LDT1S%2Fref%3Dsr_1_17_sspa%3Fcrid%3D82JPIJIXTHA6%26dib%3DeyJ2IjoiMSJ9.IwjDZBYHoVMjMptuGDgwTnt8aYEScA30n1oprl1i40tXNet-CxlT1rg9lFPsxOw5ETBGHT2hm_X8jiRmC8ycAmGhH9BThH_dMLBKUXYB4XGethvCvdTwOWxwNLi_ZTRX5j4na1Rt1P9uU5jgBaR7U6TLKXW_zJZQbLabkV210yo2JkIAR2f_tRF7MOSYz0YN0W0r5xMy7BODTWCFkPeg_BFgw2CObwSyOWu3HpoEfwQ.jb20aoT_OTksgd-y5cFnQKOdicuTMkyDB8Bp0ReUW7g%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727269668%26sprefix%3Dlaptop%252Caps%252C230%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","37,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2NDU4MzY5NzMxMzkzNjY1OjE3MjcyNjk2Njg6c3BfYXRmX25leHQ6MzAwMjgyNzYxMzk1MTMyOjowOjo&url=%2FAcer-i5-1235U-Windows-Graphics-AL15-52%2Fdp%2FB0CLTVYC1Q%2Fref%3Dsr_1_18_sspa%3Fcrid%3D82JPIJIXTHA6%26dib%3DeyJ2IjoiMSJ9.IwjDZBYHoVMjMptuGDgwTnt8aYEScA30n1oprl1i40tXNet-CxlT1rg9lFPsxOw5ETBGHT2hm_X8jiRmC8ycAmGhH9BThH_dMLBKUXYB4XGethvCvdTwOWxwNLi_ZTRX5j4na1Rt1P9uU5jgBaR7U6TLKXW_zJZQbLabkV210yo2JkIAR2f_tRF7MOSYz0YN0W0r5xMy7BODTWCFkPeg_BFgw2CObwSyOWu3HpoEfwQ.jb20aoT_OTksgd-y5cFnQKOdicuTMkyDB8Bp0ReUW7g%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727269668%26sprefix%3Dlaptop%252Caps%252C230%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.48kg Laptop","34,990",https://amazon.in//Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_19?crid=82JPIJIXTHA6&dib=eyJ2IjoiMSJ9.IwjDZBYHoVMjMptuGDgwTnt8aYEScA30n1oprl1i40tXNet-CxlT1rg9lFPsxOw5ETBGHT2hm_X8jiRmC8ycAmGhH9BThH_dMLBKUXYB4XGethvCvdTwOWxwNLi_ZTRX5j4na1Rt1P9uU5jgBaR7U6TLKXW_zJZQbLabkV210yo2JkIAR2f_tRF7MOSYz0YN0W0r5xMy7BODTWCFkPeg_BFgw2CObwSyOWu3HpoEfwQ.jb20aoT_OTksgd-y5cFnQKOdicuTMkyDB8Bp0ReUW7g&dib_tag=se&keywords=laptop&qid=1727269668&sprefix=laptop%2Caps%2C230&sr=8-19
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
